the_geom,OBJECTID,PLACENAME,PLACETYPE,ADDRESS,CITY,ZIP,SOURCE,UNIQUEID,LATITUDE,LONGITUDE,LASTUPDATE
POINT (-121.920418465244 37.376282624877),440,Karina Court Station,VTA Light Rail Station,North First  At  Karina Court,,,VTA,000052,37.37627768,-121.92040537,01/15/2012 12:00:00 AM +0000
POINT (-121.991945595543 37.345112013793),660,Santa Clara  Fire Station 7,FireStation,3495  BENTON ST,Santa Clara,,County Comm,672012FIRE,37.34510707,-121.99193249,08/09/2012 12:00:00 AM +0000
POINT (-121.847417821597 37.402186189786),1063,Berryessa Union Elementary,School,1376 Piedmont Road,San Jose,95132,School Website 2014/CA_DEPT_EDU,43693776111348,37.40218124,-121.84740474,08/26/2014 12:00:00 AM +0000
POINT (-122.019437842034 37.299704662981),1245,John Muir Elementary,School,6560 Hanover Drive,San Jose,95129,School Website 2014/CA_DEPT_EDU,43694196046908,37.29969973,-122.01942474,09/22/2014 12:00:00 AM +0000
POINT (-121.882729623935 37.380930026519),273,Townsend Park,Park,,,,ESRI,2692010POS,37.38092508,-121.88271653,09/14/2011 12:00:00 AM +0000
POINT (-121.910326806969 37.317572293076),415,Race Station,VTA Light Rail Station,Race  At  Station,,,VTA,000119,37.31756735,-121.91031372,01/15/2012 12:00:00 AM +0000
POINT (-122.023942998551 37.36937301148),1173,Ellis Elementary,School,550 East Olive Avenue,Sunnyvale,94086,School Website 2014/CA_DEPT_EDU,43696906049191,37.36936807,-122.02392989,09/10/2014 12:00:00 AM +0000
POINT (-122.163261676262 37.449410209241),163,Johnson Park,Park,,,,ESRI,1592010POS,37.44940527,-122.16324854,09/14/2011 12:00:00 AM +0000
POINT (-121.862479904344 37.320082076113),4,SAN JOSE MUNICIPAL STADIUM,Stadium,588 East Alma Avenue,San Jose,95112,ESRI Data,4D67STD,37.32007713,-121.86246683,08/14/2012 12:00:00 AM +0000
POINT (-121.998563263744 37.381036696902),871,Kindercare Learning Center - Arques,School,1155 East Arques Ave,SUNNYVALE,94085,Kindercare Website,982014PRIVATE,37.38103176,-121.99855016,03/11/2014 12:00:00 AM +0000
POINT (-121.979733236946 37.226848113385),671,County Fire Los Gatos Station 3,FireStation,306  UNIVERSITY AV,Los Gatos,,County Comm,782012FIRE,37.22684318,-121.97972015,08/09/2012 12:00:00 AM +0000
POINT (-122.108331680553 37.418383905013),576,Cubberley Community Center,Community Center,4000 Middlefield Rd,Palo Alto,,ISD-GIS -  Compiled data from the internet,242012C,37.41837897,-122.10831855,08/09/2012 12:00:00 AM +0000
POINT (-122.054959133549 37.419451721519),693,Moffet Field Fire Station 1,FireStation,580  Zook  RD,Mountainview,,ISD pdf,1032012FIRE,37.41944678,-122.05494601,08/09/2012 12:00:00 AM +0000
POINT (-121.947622064658 37.289768712345),582,St. James Community Center,Community Center,199 N. 3rd St,San Jose,,ISD-GIS -  Compiled data from the internet,302012C,37.28976378,-121.94760898,08/09/2012 12:00:00 AM +0000
POINT (-122.114327545544 37.430867742279),1350,Palo Verde Elementary,School,3450 Louis Road,Palo Alto,94303,School Website 2014/CA_DEPT_EDU,43696416048359,37.4308628,-122.11431442,10/06/2014 12:00:00 AM +0000
POINT (-121.790829586163 37.32807529949),212,Norwood Creek Park,Park,,,,ESRI,2082010POS,37.32807035,-121.79081652,09/14/2011 12:00:00 AM +0000
POINT (-121.919330456158 37.374614049405),441,Karina Court Station,VTA Light Rail Station,North First  At  Karina Court,,,VTA,000019,37.3746091,-121.91931736,01/15/2012 12:00:00 AM +0000
POINT (-121.860291833021 37.257427951354),336,Ohlone-chynoweth Station,VTA Light Rail Station,Ohlone-chynoweth Station  At  Station,,,VTA,000004,37.25742301,-121.86027876,01/15/2012 12:00:00 AM +0000
POINT (-121.940045690642 37.126099494453),1086,Loma Prieta Elementary,School,23800 Summit Road,Los Gatos,95033,School Website 2014/CA_DEPT_EDU,43695000000000,37.12609457,-121.94003262,08/28/2014 12:00:00 AM +0000
POINT (-122.012868914057 37.387360008255),981,The King’s Academy,School,562 North Britton Avenue,Sunnyvale,94085,School Website/NCES,2212014PRIVATE,37.38735507,-122.0128558,03/14/2014 12:00:00 AM +0000
POINT (-121.936607265718 37.352911284511),321,Santa Clara Station,Railroad Station,,Santa Clara,,VTA,82012RRS,37.35290634,-121.93659417,01/15/2012 12:00:00 AM +0000
POINT (-121.837768833865 37.269024012886),221,Parkview Park Three,Park,,,,ESRI,2172010POS,37.26901907,-121.83775576,09/14/2011 12:00:00 AM +0000
POINT (-121.866225969206 37.277216983555),1400,Metro Education District,School,760 Hillsdale Avenue,San Jose,95123,School Website 2014/CA_DEPT_EDU,43742940000000,37.27721204,-121.86621289,10/07/2014 12:00:00 AM +0000
POINT (-121.576826924025 37.003240626139),1410,Santa Clara County ROP-South,School,"700 West Sixth Street, Suite L",Gilroy,95020,School Website 2014/CA_DEPT_EDU,43743024395042,37.00323569,-121.57681392,10/07/2014 12:00:00 AM +0000
POINT (-121.941947587619 37.304256503835),147,Hamann Park,Park,,,,ESRI,1432010POS,37.30425156,-121.9419345,09/14/2011 12:00:00 AM +0000
POINT (-121.945193538248 37.348497455014),696,Santa Clara Court House (Traffic),Court,1095  HOMESTEAD RD,Santa Clara,,County Comm & Web Site,32012COURT,37.34849251,-121.94518044,08/09/2012 12:00:00 AM +0000
POINT (-121.930317277606 37.299471589066),380,Bascom Station,VTA Light Rail Station,Bascom  At  Station,,,VTA,000122,37.29946665,-121.93030419,01/15/2012 12:00:00 AM +0000
POINT (-122.114073171261 37.399280101051),937,School for Independent Learners,School,909 North San Antonio Road,Los Altos,94022,School Website/NCES,1712014PRIVATE,37.39927517,-122.11406004,03/13/2014 12:00:00 AM +0000
POINT (-121.844894513124 37.351049647146),184,Mayfair Park,Park,,,,ESRI,1802010POS,37.3510447,-121.84488143,09/14/2011 12:00:00 AM +0000
POINT (-121.563209405378 37.012664847881),249,San Ysidro Park,Park,,,,ESRI,2452010POS,37.01265991,-121.5631964,09/14/2011 12:00:00 AM +0000
POINT (-122.020928547207 37.373143910871),482,Planned Parenthood,Clinic,604 E. EVELYN AVENUE,SUNNYVALE,94086,Office Of StateWide Health Planning And Development (OSHPD),306430770,37.37313897,-122.02091544,08/10/2012 12:00:00 AM +0000
POINT (-121.906129017864 37.324059140093),1479,Foundry School,School,285 Sunol Street,San Jose,95126,School Website 2014/CA_DEPT_EDU,43104396085385,37.3240542,-121.90611593,10/09/2014 12:00:00 AM +0000
POINT (-121.580480861901 36.989706668171),1258,Las Animas Elementary,School,6550 Cimino Street,Gilroy,95020,School Website 2014/CA_DEPT_EDU,43694846047328,36.98970173,-121.58046786,09/29/2014 12:00:00 AM +0000
POINT (-121.951733262959 37.265418019258),25,Los Gatos Creek County Park,Park,,,,SCCPRD,192011POS,37.26541308,-121.95172018,09/14/2011 12:00:00 AM +0000
POINT (-121.849303178154 37.25416806043),230,Playa del Rey Park,Park,,,,ESRI,2262010POS,37.25416312,-121.84929011,09/14/2011 12:00:00 AM +0000
POINT (-122.050852389071 37.355734380839),631,Sunnyvale Fire Station 3,FireStation,910  TICONDEROGA DR,SunnyVale,,County Comm,372012FIRE,37.35572945,-122.05083928,08/09/2012 12:00:00 AM +0000
POINT (-121.812475190643 37.345247829563),1015,Adelante Dual Language Academy,School,2999 Ridgemont Drive,San Jose,95127,School Website 2014/CA_DEPT_EDU,43693690108167,37.34524288,-121.81246212,08/14/2014 12:00:00 AM +0000
POINT (-121.913241497254 37.247538221022),817,Challenger School (Harwood),School,4949 Harwood Road,San Jose,95124,School Website,422014PRIVATE,37.24753328,-121.91322842,03/10/2014 12:00:00 AM +0000
POINT (-121.814342246962 37.233648863216),874,Legacy Christian School,School,420 ALLEGAN CIR,SAN JOSE,95123,NCES,1022014PRIVATE,37.23364392,-121.81432918,03/11/2014 12:00:00 AM +0000
POINT (-121.909963023814 37.449747785999),761,Milpitas Police Department,Police,1275 N MILPITAS BL,MILPITAS,95035,County Comm,222012POLICE,37.44974283,-121.90994992,08/30/2012 12:00:00 AM +0000
POINT (-122.006058643559 37.344080205917),237,Raynor Park,Park,,,,ESRI,2332010POS,37.34407527,-122.00604554,09/14/2011 12:00:00 AM +0000
POINT (-121.940416377209 37.125541827524),589,Loma Prieta Community Center,Community Center,23800 Summit Road,Los Gatos,,ISD-GIS -  Compiled data from the internet,372012C,37.1255369,-121.94040331,08/09/2012 12:00:00 AM +0000
POINT (-121.835609919822 37.240140916265),95,Comanche Park,Park,,,,ESRI,912010POS,37.24013598,-121.83559685,09/14/2011 12:00:00 AM +0000
POINT (-121.976596155417 37.268856847752),1483,Cambrian Community School,School,1510 Hacienda Avenue,Campbell,95008,School Website 2014/CA_DEPT_EDU,43104394330163,37.26885191,-121.97658306,10/09/2014 12:00:00 AM +0000
POINT (-122.170023308948 37.428183052905),1499,Stanford University,College and University,450 Serra Mall,Stanford,95305,Web Site,152012CU,37.42817812,-122.17001017,07/10/2009 12:00:00 AM +0000
POINT (-122.020148352827 37.394164510958),475,Mayview Community Health Center-Cnc,Clinic,785 MORSE AVENUE,SUNNYVALE,94085,Office Of StateWide Health Planning And Development (OSHPD),306434179,37.39415957,-122.02013524,08/10/2012 12:00:00 AM +0000
POINT (-122.069854316517 37.318463389674),199,Monta Vista Park,Park,,,,ESRI,1952010POS,37.31845846,-122.06984121,09/14/2011 12:00:00 AM +0000
POINT (-121.639594272049 37.117378139943),760,Morgan Hill Police Department,Police,16200  VINEYARD BL,MORGAN HILL,95037,County Comm,212012POLICE,37.1173732,-121.63958125,08/30/2012 12:00:00 AM +0000
POINT (-122.110848793439 37.420651752512),818,Challenger School (Palo Alto),School,3880 Middlefield Road,Palo Alto,94303,School Website,432014PRIVATE,37.42064682,-122.11083567,03/10/2014 12:00:00 AM +0000
POINT (-122.120110254071 37.43512259938),984,Torah Academy,School,3070 LOUIS RD,PALO ALTO,94303,NCES,2252014PRIVATE,37.43511766,-122.12009712,03/14/2014 12:00:00 AM +0000
POINT (-121.897453613813 37.432347445906),538,Milpitas City Hall,City Hall,455 E Calaveras Blvd,Milpitas,95035,ESRI Data,12012CH,37.43234249,-121.89744052,08/09/2012 12:00:00 AM +0000
POINT (-121.618785882491 37.349406848355),688,Cal Fire Smith Creek Station,FireStation,22805  MT HAMILTON RD,Mt Hamilton,,County Comm,972012FIRE,37.34940188,-121.61877284,08/09/2012 12:00:00 AM +0000
POINT (-121.883566746913 37.338236140227),768,San Jose State University Police Department,Police,101 S 7TH ST,SAN JOSE,95112,County Comm,302012POLICE,37.33823119,-121.88355366,08/30/2012 12:00:00 AM +0000
POINT (-121.967715086282 37.234752100897),1268,Los Gatos Union Elementary,School,17010 Roberts Road,Los Gatos,95032,School Website 2014/CA_DEPT_EDU,43695266047534,37.23474717,-121.967702,09/30/2014 12:00:00 AM +0000
POINT (-122.086304274145 37.369338992846),949,St. Francis High School,School,1885 Miramonte Avenue,Mountain View,94040,School Website/NCES,1852014PRIVATE,37.36933406,-122.08629115,03/13/2014 12:00:00 AM +0000
POINT (-121.645227234299 37.166547316639),1069,Blue Ridge High School,School,19050 Malaguerra Road,Morgan Hill,95037,School Website 2014/CA_DEPT_EDU,43104396066401,37.16654237,-121.6452142,08/27/2014 12:00:00 AM +0000
POINT (-121.984547948819 37.321670630854),970,Starbright School,School,4645 ALBANY DR,SAN JOSE,95129,NCES,2062014PRIVATE,37.32166569,-121.98453485,03/13/2014 12:00:00 AM +0000
POINT (-121.976507991706 37.341345386124),45,Central Park,Park,,,,ESRI,412010POS,37.34134045,-121.97649489,09/14/2011 12:00:00 AM +0000
POINT (-121.855255028123 37.270057297263),1367,Rachel Carson Elementary,School,4245 Meg Drive,San Jose,95136,School Website 2014/CA_DEPT_EDU,43696666093090,37.27005235,-121.85524196,10/06/2014 12:00:00 AM +0000
POINT (-121.906419393178 37.288423240964),1070,Booksin Elementary,School,1590 Dry Creek Road,San Jose,95125,School Website 2014/CA_DEPT_EDU,43696666048474,37.2884183,-121.90640631,08/27/2014 12:00:00 AM +0000
POINT (-121.892748782826 37.338338998234),705,Old Courthouse,Court,161 N 1ST ST,San Jose,,County Comm & Web Site,122012COURT,37.33833405,-121.8927357,08/09/2012 12:00:00 AM +0000
POINT (-121.804725825499 37.251523734219),628,San Jose Fire Station 35,FireStation,135  POUGHKEEPSIE RD,San Jose,,County Comm,342012FIRE,37.25151879,-121.80471276,08/09/2012 12:00:00 AM +0000
POINT (-122.109596448576 37.425991447491),236,Ramos Park,Park,,,,ESRI,2322010POS,37.42598651,-122.10958332,09/14/2011 12:00:00 AM +0000
POINT (-121.954827578349 37.249376596334),928,Rainbow of Knowledge School,School,15080 LOS GATOS BLVD,LOS GATOS,95032,School Website/NCES,1622014PRIVATE,37.24937166,-121.95481449,03/12/2014 12:00:00 AM +0000
POINT (-122.022994782579 37.327132594976),1363,Portal Instructional Center,School,10300 N. Blaney Avenue,Cupertino,95104,School Website 2014/CA_DEPT_EDU,43694196104046,37.32712766,-122.02298168,10/06/2014 12:00:00 AM +0000
POINT (-121.910064904721 37.255321790336),973,Stratford Middle School,School,1718 ANDOVER LN STE 6,SAN JOSE,95124,NCES,2092014PRIVATE,37.25531685,-121.91005183,03/14/2014 12:00:00 AM +0000
POINT (-121.858651563717 37.285408130829),626,San Jose Fire Station 33,FireStation,2933  ST FLORIAN WY,San Jose,,County Comm,322012FIRE,37.28540319,-121.85863849,08/09/2012 12:00:00 AM +0000
POINT (-121.66212199039 37.125573970352),540,Morgan Hill City Hall,City Hall,17555 Peak Ave,Morgan Hill,95037,ESRI Data,32012CH,37.12556903,-121.66210896,08/09/2012 12:00:00 AM +0000
POINT (-121.897005307753 37.228922438958),1219,Guadalupe Elementary,School,6044 Vera Cruz Drive,San Jose,95120,School Website 2014/CA_DEPT_EDU,43697086049357,37.2289175,-121.89699223,09/15/2014 12:00:00 AM +0000
POINT (-121.973767226712 37.358445345041),67,Bowers Park,Park,,,,ESRI,632010POS,37.3584404,-121.97375413,09/14/2011 12:00:00 AM +0000
POINT (-121.876847011119 37.428049354902),885,Milpitas Montessori School,School,"1500 Yosemite Drive, Room 12",Milpitas,95035,School Website/NCES,1132014PRIVATE,37.4280444,-121.87683392,03/11/2014 12:00:00 AM +0000
POINT (-121.979074502052 37.220871968371),547,Los Gatos Town Hall,Town Hall,110 E. Main St,Los Gatos,95030,ESRI Data,102012CH,37.22086704,-121.97906142,08/09/2012 12:00:00 AM +0000
POINT (-121.648565167825 37.114032332568),48,Community Park,Park,,,,ESRI,442010POS,37.11402739,-121.64855214,09/14/2011 12:00:00 AM +0000
POINT (-121.906673348339 37.424350018339),865,Kindercare Learning Center - Able,School,400 S ABEL ST,MILPITAS,95035,NCES,922014PRIVATE,37.42434507,-121.90666025,03/11/2014 12:00:00 AM +0000
POINT (-121.868361902952 37.335635777598),291,William Street Park,Park,,,,ESRI,2872010POS,37.33563083,-121.86834882,09/14/2011 12:00:00 AM +0000
POINT (-121.913071679026 37.442671976025),146,Hall Memorial Park,Park,,,,ESRI,1422010POS,37.44266702,-121.91305858,09/14/2011 12:00:00 AM +0000
POINT (-121.888348300927 37.35126807044),1215,Grant Elementary,School,470 East Jackson Street,San Jose,95112,School Website 2014/CA_DEPT_EDU,43696666048540,37.35126312,-121.88833521,09/12/2014 12:00:00 AM +0000
POINT (-122.143624362429 37.444114785672),240,Rinconada Park,Park,,,,ESRI,2362010POS,37.44410985,-122.14361123,09/14/2011 12:00:00 AM +0000
POINT (-121.820223491172 37.264327428879),115,Edenvale Garden Park,Park,,,,ESRI,1112010POS,37.26432248,-121.82021042,09/14/2011 12:00:00 AM +0000
POINT (-121.835079584862 37.211549820133),86,Carrabelle Park,Park,,,,ESRI,822010POS,37.21154488,-121.83506652,09/14/2011 12:00:00 AM +0000
POINT (-121.990356218879 37.31552265051),926,Queen of Apostles School,School,4950 Mitty Way,San Jose,95129,School Website/NCES,1592014PRIVATE,37.31551771,-121.99034312,03/12/2014 12:00:00 AM +0000
POINT (-122.043891078955 37.325848206926),47,Memorial Park,Park,,,,ESRI,432010POS,37.32584327,-122.04387797,09/14/2011 12:00:00 AM +0000
POINT (-122.023550894283 37.407243189217),1486,Cogswell Polytechnical College,College and University,1175 Bordeaux,Sunnyvale,94089,Web Site,22012CU,37.40723825,-122.02353778,07/10/2009 12:00:00 AM +0000
POINT (-122.056569647108 37.315181124202),1006,Monta Vista High,School,21840 McClellan Road,Cupertino,95014,School Website 2014/CA_DEPT_EDU,43694684334462,37.31517619,-122.05655654,08/13/2014 12:00:00 AM +0000
POINT (-121.85157699152 37.236328233498),127,Foothill Park,Park,,,,ESRI,1232010POS,37.23632329,-121.85156392,09/14/2011 12:00:00 AM +0000
POINT (-121.829667515572 37.344512946948),1440,Sylvia Cassell Elementary,School,1300 Tallahassee Drive,San Jose,95122,School Website 2014/CA_DEPT_EDU,43693696046312,37.344508,-121.82965444,10/08/2014 12:00:00 AM +0000
POINT (-121.919079298666 37.336517231703),778,Police Department Reserve Unit,Police,1671 The Alameda,SAN JOSE,95126,Police Station Web Site,402012POLICE,37.33651229,-121.91906621,08/30/2012 12:00:00 AM +0000
POINT (-122.027587292834 37.329205354113),1390,Sam H. Lawson Middle,School,10401 Vista Drive,Cupertino,95014,School Website 2014/CA_DEPT_EDU,43694190108126,37.32920042,-122.02757419,10/07/2014 12:00:00 AM +0000
POINT (-121.854430404233 37.380963441815),369,Penitencia Creek Station,VTA Light Rail Station,Capitol  At  Gilchrist,,,VTA,000110,37.38095849,-121.85441732,01/15/2012 12:00:00 AM +0000
POINT (-121.968948520286 37.341083240424),861,Jubilee Academy,School,2499 Homestead Road,Santa Clara,95050,School Website,882014PRIVATE,37.3410783,-121.96893542,03/11/2014 12:00:00 AM +0000
POINT (-121.561088982361 37.002849259099),642,Gilroy Fire Station 1,FireStation,7070  CHESTNUT ST,Gilroy,,County Comm (Not in pdf),492012FIRE,37.00284432,-121.56107598,08/09/2012 12:00:00 AM +0000
POINT (-122.094866924944 37.343263521699),990,Waldorf School of the Peninsula,School,11311 Mora Drive,Los Altos,94024,School Website/NCES,2312014PRIVATE,37.34325859,-122.09485381,03/14/2014 12:00:00 AM +0000
POINT (-121.605134123001 37.072969603156),533,South Valley Medical Center,Hospital,,Gilroy,,"ESRI [2008 & 2010] Map and Data, GDT",202012H,37.07296466,-121.60512111,08/01/2011 12:00:00 AM +0000
POINT (-121.85517156023 37.258775384386),1220,Gunderson High,School,620 Gaundabert Lane,San Jose,95136,School Website 2014/CA_DEPT_EDU,43696664330080,37.25877044,-121.85515849,09/15/2014 12:00:00 AM +0000
POINT (-121.830559694542 37.247645736111),374,Snell Station,VTA Light Rail Station,Hwy 85  At  Snell,,,VTA,000035,37.24764079,-121.83054663,01/15/2012 12:00:00 AM +0000
POINT (-121.858913522522 37.369185435701),1235,Independence High,School,1776 Educational Park Drive,San Jose,95133,School Website 2014/CA_DEPT_EDU,43694274330031,37.36918049,-121.85890044,09/15/2014 12:00:00 AM +0000
POINT (-121.985595358597 37.365808228501),1018,Adrian Wilcox High,School,3250 Monroe Street,Santa Clara,95051,School Website 2014/CA_DEPT_EDU,43696744338802,37.36580329,-121.98558226,08/14/2014 12:00:00 AM +0000
POINT (-121.908384913355 37.174025126384),310,Sierra Azul Open Space Preserve,Open Space,,,,MROSD,3072010POS,37.1740202,-121.90837184,09/14/2011 12:00:00 AM +0000
POINT (-122.042112169428 37.348603230453),929,Resurrection Elementary School,School,1395 Hollenbeck,Sunnyvale,94087,School Website/NCES,1632014PRIVATE,37.34859829,-122.04209906,03/13/2014 12:00:00 AM +0000
POINT (-121.837221099115 37.211531776808),1216,Graystone Elementary,School,6982 Shearwater Drive,San Jose,95120,School Website 2014/CA_DEPT_EDU,43696666093082,37.21152684,-121.83720804,09/12/2014 12:00:00 AM +0000
POINT (-121.891378423634 37.40894998211),367,Montague Station,VTA Light Rail Station,Capitol  At  Montague,,,VTA,000103,37.40894503,-121.89136533,01/15/2012 12:00:00 AM +0000
POINT (-121.89224590342 37.240271193134),740,Vineland Branch Library,Library,1450 Blossom Hill Rd.,San Jose,95118,Web,352012LIB,37.24026626,-121.89223283,08/08/2012 12:00:00 AM +0000
POINT (-122.114230793114 37.418694224793),1227,Herbert Hoover Elementary,School,445 East Charleston Road,Palo Alto,94306,School Website 2014/CA_DEPT_EDU,43696416048201,37.41868929,-122.11421766,09/15/2014 12:00:00 AM +0000
POINT (-121.850977382029 37.220713552486),137,Graystone Park,Park,,,,ESRI,1332010POS,37.22070861,-121.85096431,09/14/2011 12:00:00 AM +0000
POINT (-122.086581331207 37.358612834675),152,Heritage Oaks Park,Park,,,,ESRI,1482010POS,37.3586079,-122.08656821,09/14/2011 12:00:00 AM +0000
POINT (-121.966428153713 37.308953474455),776,Western Community Policing Center,Police,3707 Williams Road,SAN JOSE,95117,Police Station Web Site,382012POLICE,37.30894854,-121.96641506,08/30/2012 12:00:00 AM +0000
POINT (-121.836846498303 37.36906413251),1039,Anthony P. Russo Academy,School,2851 Gay Avenue,San Jose,95127,School Website 2014/CA_DEPT_EDU,43693690114900,37.36905918,-121.83683342,08/25/2014 12:00:00 AM +0000
POINT (-121.979019181587 37.221226259095),755,Los Gatos And Monte Sereno,Police,110 E MAIN ST,LOS GATOS,95030,County Comm,162012POLICE,37.22122133,-121.9790061,08/30/2012 12:00:00 AM +0000
POINT (-122.026309157923 37.306478240835),1366,R. I. Meyerholz Elementary,School,6990 Melvin Drive,San Jose,95129,School Website 2014/CA_DEPT_EDU,43694196047047,37.30647331,-122.02629605,10/06/2014 12:00:00 AM +0000
POINT (-122.107147488915 37.418049082704),721,Palo Alto Mitchell Park Library,Library,4050 Middlefield Road,Palo Alto,94303,Web,162012LIB,37.41804415,-122.10713436,08/08/2012 12:00:00 AM +0000
POINT (-122.01443644203 37.267874457323),542,Saratoga City Hall,City Hall,13777 Fruitvale Ave,Saratoga,95070,ESRI Data,52012CH,37.26786953,-122.01442334,08/09/2012 12:00:00 AM +0000
POINT (-121.947919617794 37.279614446627),425,Winchester Station,VTA Light Rail Station,Winchester  At  Station,,,VTA,000129,37.27960951,-121.94790653,01/15/2012 12:00:00 AM +0000
POINT (-121.924374904705 37.310423826385),568,Sherman Oaks Community Center,Community Center,1800 Fruitdale Ave,San Jose,,ISD-GIS -  Compiled data from the internet,162012C,37.31041889,-121.92436182,08/09/2012 12:00:00 AM +0000
POINT (-121.913157149107 37.440624663361),1144,Curtner Elementary,School,275 Redwood,Milpitas,95035,School Website 2014/CA_DEPT_EDU,43733876047609,37.44061971,-121.91314405,09/08/2014 12:00:00 AM +0000
POINT (-122.054766800165 37.358005605999),106,Del Anza Park,Park,,,,ESRI,1022010POS,37.35800067,-122.05475369,09/14/2011 12:00:00 AM +0000
POINT (-122.184795570543 37.351729454254),218,Palo Alto Foothills Park,Park,,,,ESRI,2142010POS,37.35172453,-122.18478244,09/14/2011 12:00:00 AM +0000
POINT (-121.804458509211 37.251880347045),558,Southside Community Center,Community Center,5585 Cottle Rd,San Jose,,ISD-GIS -  Compiled data from the internet,62012C,37.2518754,-121.80444545,08/09/2012 12:00:00 AM +0000
POINT (-121.865332131902 37.325914646143),588,Leninger Community Center,Community Center,1300 Senter Rd,San Jose,,ISD-GIS -  Compiled data from the internet,362012C,37.3259097,-121.86531905,08/09/2012 12:00:00 AM +0000
POINT (-121.987447086422 37.348129578659),1361,Pomeroy Elementary,School,1250 Pomeroy Avenue,Santa Clara,95051,School Website 2014/CA_DEPT_EDU,43696746048987,37.34812464,-121.98743398,10/06/2014 12:00:00 AM +0000
POINT (-121.991067949618 37.367204326611),935,Santa Clara Christian School,School,3421 Monroe Street,Santa Clara,95051,School Website/NCES,1692014PRIVATE,37.36719939,-121.99105485,03/13/2014 12:00:00 AM +0000
POINT (-121.876272870289 37.432961791351),1021,Alexander Rose Elementary,School,250 Roswell Drive,Milpitas,95035,School Website 2014/CA_DEPT_EDU,43733876047583,37.43295684,-121.87625978,08/18/2014 12:00:00 AM +0000
POINT (-121.851059499086 37.246283445563),78,Cahalan Park,Park,,,,ESRI,742010POS,37.2462785,-121.85104643,09/14/2011 12:00:00 AM +0000
POINT (-121.924664007034 37.310279251694),931,Sage Vista School,School,1800 FRUITDALE AVE,SAN JOSE,95128,NCES,1652014PRIVATE,37.31027431,-121.92465092,03/13/2014 12:00:00 AM +0000
POINT (-121.924551410803 37.328708304251),1274,Abraham Lincoln Senior High School,School,555 Dana Avenue,San Jose,95126,School Website 2014/CA_DEPT_EDU,43696664333795,37.32870336,-121.92453832,09/30/2014 12:00:00 AM +0000
POINT (-121.824135576053 37.306918134624),1467,Windmill Springs Elementary,School,2880 Aetna Way,San Jose,95121,School Website 2014/CA_DEPT_EDU,43694506105795,37.30691319,-121.8241225,10/09/2014 12:00:00 AM +0000
POINT (-121.917131007078 37.413576544934),362,I-880 Station,VTA Light Rail Station,Tasman  Ns  Alder,,,VTA,000095,37.41357159,-121.91711791,01/15/2012 12:00:00 AM +0000
POINT (-121.919633951382 37.267038377915),823,Chrysallis Elementary School,School,3001 Ross Avenue #1,San Jose,95124,School Website/NCES,492014PRIVATE,37.26703344,-121.91962087,03/10/2014 12:00:00 AM +0000
POINT (-121.877300629473 37.344314638961),1091,"C.A.P.I. Unit,San Jose Hospital",School,77 N. 15th Street,San Jose,95112,School Website 2014/CA_DEPT_EDU,43104396096788,37.34430969,-121.87728755,08/29/2014 12:00:00 AM +0000
POINT (-122.056659578512 37.349074079348),246,San Antonio Park,Park,,,,ESRI,2422010POS,37.34906914,-122.05664647,09/14/2011 12:00:00 AM +0000
POINT (-121.567106613118 37.015192692716),1211,Gilroy Prep,School,277 IOOF Avenue,GILROY,95020,School Website 2014/CA_DEPT_EDU,43694840123760,37.01518775,-121.56709361,09/11/2014 12:00:00 AM +0000
POINT (-122.060135007033 37.375508713838),481,Peninsula Eye Surgery Center,Clinic,1128 WEST EL CAMINO REAL,MOUNTAIN VIEW,94040,Office Of StateWide Health Planning And Development (OSHPD),306434169,37.37550378,-122.06012189,08/10/2012 12:00:00 AM +0000
POINT (-122.029169457386 37.371861078247),985,Triumphant Learning Center,School,420 CARROLL ST,SUNNYVALE,94086,NCES,2262014PRIVATE,37.37185614,-122.02915635,03/14/2014 12:00:00 AM +0000
POINT (-121.942837047075 37.347444046198),946,St Clare's Catholic School,School,725 Washington Street,Santa Clara,95050,School Website/NCES,1822014PRIVATE,37.3474391,-121.94282395,03/13/2014 12:00:00 AM +0000
POINT (-121.844592172765 37.217937203381),1265,Leland High,School,6677 Camden Avenue,San Jose,95120,School Website 2014/CA_DEPT_EDU,43696664333522,37.21793226,-121.84457911,09/30/2014 12:00:00 AM +0000
POINT (-122.117863947447 37.422141099018),1183,Fairmeadow Elementary,School,500 East Meadow Drive,Palo Alto,94306,School Website 2014/CA_DEPT_EDU,43696416048268,37.42213616,-122.11785082,09/11/2014 12:00:00 AM +0000
POINT (-121.98178176873 37.157001777143),675,County Fire Redwood Station 4,FireStation,21452  MADRONE DR,CO,,County Comm,822012FIRE,37.15699685,-121.98176869,08/09/2012 12:00:00 AM +0000
POINT (-121.820619573374 37.284889215066),1197,G. W. Hellyer Elementary,School,725 Hellyer Avenue,San Jose,95111,School Website 2014/CA_DEPT_EDU,43694506047203,37.28488427,-121.8206065,09/11/2014 12:00:00 AM +0000
POINT (-121.906316645427 37.343054435944),107,Demonstration Orchard,Park,,,,ESRI,1032010POS,37.34304949,-121.90630356,09/14/2011 12:00:00 AM +0000
POINT (-121.811443655047 37.295889422457),1368,Ramblewood Elementary,School,1351 Lightland Road,San Jose,95121,School Website 2014/CA_DEPT_EDU,43694500108696,37.29588448,-121.81143059,10/06/2014 12:00:00 AM +0000
